bananapim2plus/Focal_current_nightly.sha|bananapim2plus/nightly/Armbian_21.02.0-trunk.2_Bananapim2plus_focal_current_5.9.11.img.xz.sha|Nov 26 2020|1M
bananapim2plus/Focal_current.sha|bananapim2plus/archive/Armbian_20.11_Bananapim2plus_focal_current_5.8.16.img.xz.sha|Nov 25 2020|1M
bananapim2plus/Focal_current.torrent|bananapim2plus/archive/Armbian_20.11_Bananapim2plus_focal_current_5.8.16.img.xz.torrent|Nov 28 2020|1M
bananapim2ultra/Bullseye_current|bananapim2ultra/archive/Armbian_20.11_Bananapim2ultra_bullseye_current_5.8.16.img.xz|Nov 25 2020|507M
bananapim2ultra/Bullseye_current.asc|bananapim2ultra/archive/Armbian_20.11_Bananapim2ultra_bullseye_current_5.8.16.img.xz.asc|Nov 25 2020|1M
bananapim2ultra/Bullseye_current.sha|bananapim2ultra/archive/Armbian_20.11_Bananapim2ultra_bullseye_current_5.8.16.img.xz.sha|Nov 25 2020|1M
bananapim2ultra/Bullseye_current.torrent|bananapim2ultra/archive/Armbian_20.11_Bananapim2ultra_bullseye_current_5.8.16.img.xz.torrent|Nov 28 2020|1M
bananapim2ultra/Buster_current_minimal|bananapim2ultra/archive/Armbian_20.11_Bananapim2ultra_buster_current_5.8.16_minimal.img.xz|Nov 25 2020|169M
bananapim2ultra/Buster_current_minimal.asc|bananapim2ultra/archive/Armbian_20.11_Bananapim2ultra_buster_current_5.8.16_minimal.img.xz.asc|Nov 25 2020|1M
bananapim2ultra/Buster_current_minimal.sha|bananapim2ultra/archive/Armbian_20.11_Bananapim2ultra_buster_current_5.8.16_minimal.img.xz.sha|Nov 25 2020|1M
bananapim2ultra/Buster_current_minimal.torrent|bananapim2ultra/archive/Armbian_20.11_Bananapim2ultra_buster_current_5.8.16_minimal.img.xz.torrent|Nov 28 2020|1M
bananapim2ultra/Buster_current_nightly|bananapim2ultra/nightly/Armbian_21.02.0-trunk.2_Bananapim2ultra_buster_current_5.9.11.img.xz|Nov 26 2020|343M
